ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Host Team
302,1978,6/18/1978,Second group stage,Argentina,0,0,Brazil,Standard duration,TRUE
303,1978,6/21/1978,Second group stage,Netherlands,2,1,Italy,Standard duration,FALSE
304,1978,6/21/1978,Second group stage,Austria,3,2,Germany,Standard duration,FALSE
305,1978,6/21/1978,Second group stage,Brazil,3,1,Poland,Standard duration,FALSE
306,1978,6/21/1978,Second group stage,Argentina,6,0,Peru,Standard duration,TRUE
307,1978,6/24/1978,Third place,Brazil,2,1,Italy,Standard duration,FALSE
308,1978,6/25/1978,Final,Argentina,3,1,Netherlands,Extra time,TRUE
309,1982,6/13/1982,First group stage,Argentina,0,1,Belgium,Standard duration,FALSE
310,1982,6/14/1982,First group stage,Italy,0,0,Poland,Standard duration,FALSE
311,1982,6/14/1982,First group stage,Brazil,2,1,Russia,Standard duration,FALSE
312,1982,6/15/1982,First group stage,Peru,0,0,Cameroon,Standard duration,FALSE
313,1982,6/15/1982,First group stage,Hungary,10,1,El Salvador,Standard duration,FALSE
314,1982,6/15/1982,First group stage,Scotland,5,2,New Zealand,Standard duration,FALSE
315,1982,6/16/1982,First group stage,Germany,1,2,Algeria,Standard duration,FALSE
316,1982,6/16/1982,First group stage,England,3,1,France,Standard duration,FALSE
317,1982,6/16/1982,First group stage,Spain,1,1,Honduras,Standard duration,TRUE
318,1982,6/17/1982,First group stage,Chile,0,1,Austria,Standard duration,FALSE
319,1982,6/17/1982,First group stage,Czechoslovakia,1,1,Kuwait,Standard duration,FALSE
320,1982,6/17/1982,First group stage,Yugoslavia,0,0,Northern Ireland,Standard duration,FALSE
321,1982,6/18/1982,First group stage,Italy,1,1,Peru,Standard duration,FALSE
322,1982,6/18/1982,First group stage,Argentina,4,1,Hungary,Standard duration,FALSE
323,1982,6/18/1982,First group stage,Brazil,4,1,Scotland,Standard duration,FALSE
324,1982,6/19/1982,First group stage,Poland,0,0,Cameroon,Standard duration,FALSE
325,1982,6/19/1982,First group stage,Belgium,1,0,El Salvador,Standard duration,FALSE
326,1982,6/19/1982,First group stage,Russia,3,0,New Zealand,Standard duration,FALSE
327,1982,6/20/1982,First group stage,Germany,4,1,Chile,Standard duration,FALSE
328,1982,6/20/1982,First group stage,England,2,0,Czechoslovakia,Standard duration,FALSE
329,1982,6/20/1982,First group stage,Spain,2,1,Yugoslavia,Standard duration,TRUE
330,1982,6/21/1982,First group stage,Algeria,0,2,Austria,Standard duration,FALSE
331,1982,6/21/1982,First group stage,France,4,1,Kuwait,Standard duration,FALSE
332,1982,6/21/1982,First group stage,Honduras,1,1,Northern Ireland,Standard duration,FALSE
333,1982,6/22/1982,First group stage,Poland,5,1,Peru,Standard duration,FALSE
334,1982,6/22/1982,First group stage,Belgium,1,1,Hungary,Standard duration,FALSE
335,1982,6/22/1982,First group stage,Russia,2,2,Scotland,Standard duration,FALSE
336,1982,6/23/1982,First group stage,Italy,1,1,Cameroon,Standard duration,FALSE
337,1982,6/23/1982,First group stage,Argentina,2,0,El Salvador,Standard duration,FALSE
338,1982,6/23/1982,First group stage,Brazil,4,0,New Zealand,Standard duration,FALSE
339,1982,6/24/1982,First group stage,Algeria,3,2,Chile,Standard duration,FALSE
340,1982,6/24/1982,First group stage,France,1,1,Czechoslovakia,Standard duration,FALSE
341,1982,6/24/1982,First group stage,Honduras,0,1,Yugoslavia,Standard duration,FALSE
342,1982,6/25/1982,First group stage,Germany,1,0,Austria,Standard duration,FALSE
343,1982,6/25/1982,First group stage,England,1,0,Kuwait,Standard duration,FALSE
344,1982,6/25/1982,First group stage,Spain,0,1,Northern Ireland,Standard duration,TRUE
345,1982,6/28/1982,Second group stage,Austria,0,1,France,Standard duration,FALSE
346,1982,6/28/1982,Second group stage,Poland,3,0,Belgium,Standard duration,FALSE
347,1982,6/29/1982,Second group stage,Italy,2,1,Argentina,Standard duration,FALSE
348,1982,6/29/1982,Second group stage,Germany,0,0,England,Standard duration,FALSE
349,1982,7/1/1982,Second group stage,Austria,2,2,Northern Ireland,Standard duration,FALSE
350,1982,7/1/1982,Second group stage,Belgium,0,1,Russia,Standard duration,FALSE
351,1982,7/2/1982,Second group stage,Argentina,1,3,Brazil,Standard duration,FALSE
352,1982,7/2/1982,Second group stage,Spain,1,2,Germany,Standard duration,TRUE
353,1982,7/4/1982,Second group stage,France,4,1,Northern Ireland,Standard duration,FALSE
354,1982,7/4/1982,Second group stage,Poland,0,0,Russia,Standard duration,FALSE
355,1982,7/5/1982,Second group stage,Italy,3,2,Brazil,Standard duration,FALSE
356,1982,7/5/1982,Second group stage,Spain,0,0,England,Standard duration,TRUE
357,1982,7/8/1982,Semi-finals,Poland,0,2,Italy,Standard duration,FALSE
358,1982,7/8/1982,Semi-finals,Germany,3,3,France,Germany win on penalties (5 - 4),FALSE
359,1982,7/10/1982,Third place,Poland,3,2,France,Standard duration,FALSE
360,1982,7/11/1982,Final,Italy,3,1,Germany,Standard duration,FALSE
361,1986,5/31/1986,Group stage,Bulgaria,1,1,Italy,Standard duration,FALSE
362,1986,6/1/1986,Group stage,Spain,0,1,Brazil,Standard duration,FALSE
363,1986,6/1/1986,Group stage,Canada,0,1,France,Standard duration,FALSE
364,1986,6/2/1986,Group stage,Russia,6,0,Hungary,Standard duration,FALSE
365,1986,6/2/1986,Group stage,Argentina,3,1,South Korea,Standard duration,FALSE
366,1986,6/2/1986,Group stage,Morocco,0,0,Poland,Standard duration,FALSE
367,1986,6/3/1986,Group stage,Algeria,1,1,Northern Ireland,Standard duration,FALSE
368,1986,6/3/1986,Group stage,Mexico,2,1,Belgium,Standard duration,TRUE
369,1986,6/3/1986,Group stage,Portugal,1,0,England,Standard duration,FALSE
370,1986,6/4/1986,Group stage,Paraguay,1,0,Iraq,Standard duration,FALSE
371,1986,6/4/1986,Group stage,Uruguay,1,1,Germany,Standard duration,FALSE
372,1986,6/4/1986,Group stage,Scotland,0,1,Denmark,Standard duration,FALSE
373,1986,6/5/1986,Group stage,Italy,1,1,Argentina,Standard duration,FALSE
374,1986,6/5/1986,Group stage,France,1,1,Russia,Standard duration,FALSE
375,1986,6/5/1986,Group stage,South Korea,1,1,Bulgaria,Standard duration,FALSE
376,1986,6/6/1986,Group stage,Hungary,2,0,Canada,Standard duration,FALSE
377,1986,6/6/1986,Group stage,Brazil,1,0,Algeria,Standard duration,FALSE
378,1986,6/6/1986,Group stage,England,0,0,Morocco,Standard duration,FALSE
379,1986,6/7/1986,Group stage,Northern Ireland,1,2,Spain,Standard duration,FALSE
380,1986,6/7/1986,Group stage,Mexico,1,1,Paraguay,Standard duration,TRUE
381,1986,6/7/1986,Group stage,Poland,1,0,Portugal,Standard duration,FALSE
382,1986,6/8/1986,Group stage,Iraq,1,2,Belgium,Standard duration,FALSE
383,1986,6/8/1986,Group stage,Germany,2,1,Scotland,Standard duration,FALSE
384,1986,6/8/1986,Group stage,Denmark,6,1,Uruguay,Standard duration,FALSE
385,1986,6/9/1986,Group stage,Hungary,0,3,France,Standard duration,FALSE
386,1986,6/9/1986,Group stage,Russia,2,0,Canada,Standard duration,FALSE
387,1986,6/10/1986,Group stage,South Korea,2,3,Italy,Standard duration,FALSE
388,1986,6/10/1986,Group stage,Argentina,2,0,Bulgaria,Standard duration,FALSE
389,1986,6/11/1986,Group stage,Paraguay,2,2,Belgium,Standard duration,FALSE
390,1986,6/11/1986,Group stage,Mexico,1,0,Iraq,Standard duration,TRUE
391,1986,6/11/1986,Group stage,Portugal,1,3,Morocco,Standard duration,FALSE
392,1986,6/11/1986,Group stage,England,3,0,Poland,Standard duration,FALSE
393,1986,6/12/1986,Group stage,Northern Ireland,0,3,Brazil,Standard duration,FALSE
394,1986,6/12/1986,Group stage,Algeria,0,3,Spain,Standard duration,FALSE
395,1986,6/13/1986,Group stage,Scotland,0,0,Uruguay,Standard duration,FALSE
396,1986,6/13/1986,Group stage,Denmark,2,0,Germany,Standard duration,FALSE
397,1986,6/15/1986,Round of 16,Mexico,2,0,Bulgaria,Standard duration,TRUE
398,1986,6/15/1986,Round of 16,Russia,3,4,Belgium,Extra time,FALSE
399,1986,6/16/1986,Round of 16,Brazil,4,0,Poland,Standard duration,FALSE
400,1986,6/16/1986,Round of 16,Argentina,1,0,Uruguay,Standard duration,FALSE
401,1986,6/17/1986,Round of 16,Italy,0,2,France,Standard duration,FALSE
402,1986,6/17/1986,Round of 16,Morocco,0,1,Germany,Standard duration,FALSE
403,1986,6/18/1986,Round of 16,England,3,0,Paraguay,Standard duration,FALSE
404,1986,6/18/1986,Round of 16,Denmark,1,5,Spain,Standard duration,FALSE
405,1986,6/21/1986,Quarter-finals,Brazil,1,1,France,France win on penalties (3 - 4),FALSE
406,1986,6/21/1986,Quarter-finals,Mexico,0,0,Germany,Germany win on penalties (4 - 1),TRUE
407,1986,6/22/1986,Quarter-finals,Argentina,2,1,England,Standard duration,FALSE
408,1986,6/22/1986,Quarter-finals,Spain,1,1,Belgium,Belgium win on penalties (4 - 5),FALSE
409,1986,6/25/1986,Semi-finals,France,0,2,Germany,Standard duration,FALSE
410,1986,6/25/1986,Semi-finals,Argentina,2,0,Belgium,Standard duration,FALSE
411,1986,6/28/1986,Third place,France,4,2,Belgium,Extra time,FALSE
412,1986,6/29/1986,Final,Argentina,3,2,Germany,Standard duration,FALSE
413,1990,6/8/1990,Group stage,Argentina,0,1,Cameroon,Standard duration,FALSE
414,1990,6/9/1990,Group stage,Russia,0,2,Romania,Standard duration,FALSE
415,1990,6/9/1990,Group stage,United Arab Emirates,0,2,Colombia,Standard duration,FALSE
416,1990,6/9/1990,Group stage,Italy,1,0,Austria,Standard duration,TRUE
417,1990,6/10/1990,Group stage,United States,1,5,Czechoslovakia,Standard duration,FALSE
418,1990,6/10/1990,Group stage,Brazil,2,1,Sweden,Standard duration,FALSE
419,1990,6/10/1990,Group stage,Germany,4,1,Yugoslavia,Standard duration,FALSE
420,1990,6/11/1990,Group stage,Costa Rica,1,0,Scotland,Standard duration,FALSE
421,1990,6/11/1990,Group stage,England,1,1,Republic of Ireland,Standard duration,FALSE
422,1990,6/12/1990,Group stage,Belgium,2,0,South Korea,Standard duration,FALSE
423,1990,6/12/1990,Group stage,Netherlands,1,1,Egypt,Standard duration,FALSE
424,1990,6/13/1990,Group stage,Uruguay,0,0,Spain,Standard duration,FALSE
425,1990,6/13/1990,Group stage,Argentina,2,0,Russia,Standard duration,FALSE
426,1990,6/14/1990,Group stage,Cameroon,2,1,Romania,Standard duration,FALSE
427,1990,6/14/1990,Group stage,Yugoslavia,1,0,Colombia,Standard duration,FALSE
428,1990,6/14/1990,Group stage,Italy,1,0,United States,Standard duration,TRUE
429,1990,6/15/1990,Group stage,Austria,0,1,Czechoslovakia,Standard duration,FALSE
430,1990,6/15/1990,Group stage,Germany,5,1,United Arab Emirates,Standard duration,FALSE
431,1990,6/16/1990,Group stage,Brazil,1,0,Costa Rica,Standard duration,FALSE
432,1990,6/16/1990,Group stage,Sweden,1,2,Scotland,Standard duration,FALSE
433,1990,6/16/1990,Group stage,England,0,0,Netherlands,Standard duration,FALSE
434,1990,6/17/1990,Group stage,Republic of Ireland,0,0,Egypt,Standard duration,FALSE
435,1990,6/17/1990,Group stage,South Korea,1,3,Spain,Standard duration,FALSE
436,1990,6/17/1990,Group stage,Belgium,3,1,Uruguay,Standard duration,FALSE
437,1990,6/18/1990,Group stage,Argentina,1,1,Romania,Standard duration,FALSE
438,1990,6/18/1990,Group stage,Cameroon,0,4,Russia,Standard duration,FALSE
439,1990,6/19/1990,Group stage,Germany,1,1,Colombia,Standard duration,FALSE
440,1990,6/19/1990,Group stage,Yugoslavia,4,1,United Arab Emirates,Standard duration,FALSE
441,1990,6/19/1990,Group stage,Italy,2,0,Czechoslovakia,Standard duration,TRUE
442,1990,6/19/1990,Group stage,Austria,2,1,United States,Standard duration,FALSE
443,1990,6/20/1990,Group stage,Brazil,1,0,Scotland,Standard duration,FALSE
444,1990,6/20/1990,Group stage,Sweden,1,2,Costa Rica,Standard duration,FALSE
445,1990,6/21/1990,Group stage,South Korea,0,1,Uruguay,Standard duration,FALSE
446,1990,6/21/1990,Group stage,Belgium,1,2,Spain,Standard duration,FALSE
447,1990,6/21/1990,Group stage,Republic of Ireland,1,1,Netherlands,Standard duration,FALSE
448,1990,6/21/1990,Group stage,England,1,0,Egypt,Standard duration,FALSE
449,1990,6/23/1990,Round of 16,Cameroon,2,1,Colombia,Extra time,FALSE
450,1990,6/23/1990,Round of 16,Czechoslovakia,4,1,Costa Rica,Standard duration,FALSE
451,1990,6/24/1990,Round of 16,Brazil,0,1,Argentina,Standard duration,FALSE
452,1990,6/24/1990,Round of 16,Germany,2,1,Netherlands,Standard duration,FALSE
453,1990,6/25/1990,Round of 16,Republic of Ireland,0,0,Romania,Republic of Ireland win on penalties (5 - 4),FALSE
454,1990,6/25/1990,Round of 16,Italy,2,0,Uruguay,Standard duration,TRUE
455,1990,6/26/1990,Round of 16,Spain,1,2,Yugoslavia,Extra time,FALSE
456,1990,6/26/1990,Round of 16,England,1,0,Belgium,Extra time,FALSE
457,1990,6/30/1990,Quarter-finals,Yugoslavia,0,0,Argentina,Argentina win on penalties (2 - 3),FALSE
458,1990,6/30/1990,Quarter-finals,Italy,1,0,Republic of Ireland,Standard duration,TRUE
459,1990,7/1/1990,Quarter-finals,Germany,1,0,Czechoslovakia,Standard duration,FALSE
460,1990,7/1/1990,Quarter-finals,England,3,2,Cameroon,Extra time,FALSE
461,1990,7/3/1990,Semi-finals,Italy,1,1,Argentina,Argentina win on penalties (3 - 4),TRUE
462,1990,7/4/1990,Semi-finals,Germany,1,1,England,Germany win on penalties (4 - 3),FALSE
463,1990,7/7/1990,Third place,Italy,2,1,England,Standard duration,TRUE
464,1990,7/8/1990,Final,Germany,1,0,Argentina,Standard duration,FALSE
465,1994,6/17/1994,Group stage,Germany,1,0,Bolivia,Standard duration,FALSE
466,1994,6/17/1994,Group stage,Spain,2,2,South Korea,Standard duration,FALSE
467,1994,6/18/1994,Group stage,United States,1,1,Switzerland,Standard duration,TRUE
468,1994,6/18/1994,Group stage,Italy,0,1,Republic of Ireland,Standard duration,FALSE
469,1994,6/18/1994,Group stage,Colombia,1,3,Romania,Standard duration,FALSE
470,1994,6/19/1994,Group stage,Belgium,1,0,Morocco,Standard duration,FALSE
471,1994,6/19/1994,Group stage,Norway,1,0,Mexico,Standard duration,FALSE
472,1994,6/19/1994,Group stage,Cameroon,2,2,Sweden,Standard duration,FALSE
473,1994,6/20/1994,Group stage,Brazil,2,0,Russia,Standard duration,FALSE
474,1994,6/20/1994,Group stage,Netherlands,2,1,Saudi Arabia,Standard duration,FALSE
475,1994,6/21/1994,Group stage,Argentina,4,0,Greece,Standard duration,FALSE
476,1994,6/21/1994,Group stage,Germany,1,1,Spain,Standard duration,FALSE
477,1994,6/21/1994,Group stage,Nigeria,3,0,Bulgaria,Standard duration,FALSE
478,1994,6/22/1994,Group stage,Romania,1,4,Switzerland,Standard duration,FALSE
479,1994,6/22/1994,Group stage,United States,2,1,Colombia,Standard duration,TRUE
480,1994,6/23/1994,Group stage,Italy,1,0,Norway,Standard duration,FALSE
481,1994,6/23/1994,Group stage,South Korea,0,0,Bolivia,Standard duration,FALSE
482,1994,6/24/1994,Group stage,Mexico,2,1,Republic of Ireland,Standard duration,FALSE
483,1994,6/24/1994,Group stage,Brazil,3,0,Cameroon,Standard duration,FALSE
484,1994,6/24/1994,Group stage,Sweden,3,1,Russia,Standard duration,FALSE
485,1994,6/25/1994,Group stage,Belgium,1,0,Netherlands,Standard duration,FALSE
486,1994,6/25/1994,Group stage,Saudi Arabia,2,1,Morocco,Standard duration,FALSE
487,1994,6/25/1994,Group stage,Argentina,2,1,Nigeria,Standard duration,FALSE
488,1994,6/26/1994,Group stage,Bulgaria,4,0,Greece,Standard duration,FALSE
489,1994,6/26/1994,Group stage,United States,0,1,Romania,Standard duration,TRUE
490,1994,6/26/1994,Group stage,Switzerland,0,2,Colombia,Standard duration,FALSE
491,1994,6/27/1994,Group stage,Germany,3,2,South Korea,Standard duration,FALSE
492,1994,6/27/1994,Group stage,Bolivia,1,3,Spain,Standard duration,FALSE
493,1994,6/28/1994,Group stage,Republic of Ireland,0,0,Norway,Standard duration,FALSE
494,1994,6/28/1994,Group stage,Italy,1,1,Mexico,Standard duration,FALSE
495,1994,6/28/1994,Group stage,Brazil,1,1,Sweden,Standard duration,FALSE
496,1994,6/28/1994,Group stage,Russia,6,1,Cameroon,Standard duration,FALSE
497,1994,6/29/1994,Group stage,Morocco,1,2,Netherlands,Standard duration,FALSE
498,1994,6/29/1994,Group stage,Belgium,0,1,Saudi Arabia,Standard duration,FALSE
499,1994,6/30/1994,Group stage,Greece,0,2,Nigeria,Standard duration,FALSE
500,1994,6/30/1994,Group stage,Argentina,0,2,Bulgaria,Standard duration,FALSE
501,1994,7/2/1994,Round of 16,Germany,3,2,Belgium,Standard duration,FALSE
502,1994,7/2/1994,Round of 16,Spain,3,0,Switzerland,Standard duration,FALSE
503,1994,7/3/1994,Round of 16,Saudi Arabia,1,3,Sweden,Standard duration,FALSE
504,1994,7/3/1994,Round of 16,Romania,3,2,Argentina,Standard duration,FALSE
505,1994,7/4/1994,Round of 16,Netherlands,2,0,Republic of Ireland,Standard duration,FALSE
506,1994,7/4/1994,Round of 16,United States,0,1,Brazil,Standard duration,TRUE
507,1994,7/5/1994,Round of 16,Nigeria,1,2,Italy,Extra time,FALSE
508,1994,7/5/1994,Round of 16,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3),FALSE
509,1994,7/9/1994,Quarter-finals,Italy,2,1,Spain,Standard duration,FALSE
510,1994,7/9/1994,Quarter-finals,Netherlands,2,3,Brazil,Standard duration,FALSE
511,1994,7/10/1994,Quarter-finals,Bulgaria,2,1,Germany,Standard duration,FALSE
512,1994,7/10/1994,Quarter-finals,Romania,2,2,Sweden,Sweden win on penalties (4 - 5),FALSE
513,1994,7/13/1994,Semi-finals,Bulgaria,1,2,Italy,Standard duration,FALSE
514,1994,7/13/1994,Semi-finals,Sweden,0,1,Brazil,Standard duration,FALSE
515,1994,7/16/1994,Third place,Sweden,4,0,Bulgaria,Standard duration,FALSE
516,1994,7/17/1994,Final,Brazil,0,0,Italy,Brazil win on penalties (3 - 2),FALSE
517,1998,6/10/1998,Group stage,Brazil,2,1,Scotland,Standard duration,FALSE
518,1998,6/10/1998,Group stage,Morocco,2,2,Norway,Standard duration,FALSE
519,1998,6/11/1998,Group stage,Italy,2,2,Chile,Standard duration,FALSE
520,1998,6/11/1998,Group stage,Cameroon,1,1,Austria,Standard duration,FALSE
521,1998,6/12/1998,Group stage,Paraguay,0,0,Bulgaria,Standard duration,FALSE
522,1998,6/12/1998,Group stage,Saudi Arabia,0,1,Denmark,Standard duration,FALSE
523,1998,6/12/1998,Group stage,France,3,0,South Africa,Standard duration,TRUE
524,1998,6/13/1998,Group stage,Spain,2,3,Nigeria,Standard duration,FALSE
525,1998,6/13/1998,Group stage,South Korea,1,3,Mexico,Standard duration,FALSE
526,1998,6/13/1998,Group stage,Netherlands,0,0,Belgium,Standard duration,FALSE
527,1998,6/14/1998,Group stage,Argentina,1,0,Japan,Standard duration,FALSE
528,1998,6/14/1998,Group stage,Yugoslavia,1,0,Iran,Standard duration,FALSE
529,1998,6/14/1998,Group stage,Jamaica,1,3,Croatia,Standard duration,FALSE
530,1998,6/15/1998,Group stage,England,2,0,Tunisia,Standard duration,FALSE
531,1998,6/15/1998,Group stage,Romania,1,0,Colombia,Standard duration,FALSE
532,1998,6/15/1998,Group stage,Germany,2,0,United States,Standard duration,FALSE
533,1998,6/16/1998,Group stage,Scotland,1,1,Norway,Standard duration,FALSE
534,1998,6/16/1998,Group stage,Brazil,3,0,Morocco,Standard duration,FALSE
535,1998,6/17/1998,Group stage,Chile,1,1,Austria,Standard duration,FALSE
536,1998,6/17/1998,Group stage,Italy,3,0,Cameroon,Standard duration,FALSE
537,1998,6/18/1998,Group stage,South Africa,1,1,Denmark,Standard duration,FALSE
538,1998,6/18/1998,Group stage,France,4,0,Saudi Arabia,Standard duration,TRUE
539,1998,6/19/1998,Group stage,Nigeria,1,0,Bulgaria,Standard duration,FALSE
540,1998,6/19/1998,Group stage,Spain,0,0,Paraguay,Standard duration,FALSE
541,1998,6/20/1998,Group stage,Japan,0,1,Croatia,Standard duration,FALSE
542,1998,6/20/1998,Group stage,Belgium,2,2,Mexico,Standard duration,FALSE
543,1998,6/20/1998,Group stage,Netherlands,5,0,South Korea,Standard duration,FALSE
544,1998,6/21/1998,Group stage,Germany,2,2,Yugoslavia,Standard duration,FALSE
545,1998,6/21/1998,Group stage,Argentina,5,0,Jamaica,Standard duration,FALSE
546,1998,6/21/1998,Group stage,United States,1,2,Iran,Standard duration,FALSE
547,1998,6/22/1998,Group stage,Colombia,1,0,Tunisia,Standard duration,FALSE
548,1998,6/22/1998,Group stage,Romania,2,1,England,Standard duration,FALSE
549,1998,6/23/1998,Group stage,Italy,2,1,Austria,Standard duration,FALSE
550,1998,6/23/1998,Group stage,Chile,1,1,Cameroon,Standard duration,FALSE
551,1998,6/23/1998,Group stage,Scotland,0,3,Morocco,Standard duration,FALSE
552,1998,6/23/1998,Group stage,Brazil,1,2,Norway,Standard duration,FALSE
553,1998,6/24/1998,Group stage,France,2,1,Denmark,Standard duration,TRUE
554,1998,6/24/1998,Group stage,South Africa,2,2,Saudi Arabia,Standard duration,FALSE
555,1998,6/24/1998,Group stage,Spain,6,1,Bulgaria,Standard duration,FALSE
556,1998,6/24/1998,Group stage,Nigeria,1,3,Paraguay,Standard duration,FALSE
557,1998,6/25/1998,Group stage,Belgium,1,1,South Korea,Standard duration,FALSE
558,1998,6/25/1998,Group stage,Netherlands,2,2,Mexico,Standard duration,FALSE
559,1998,6/25/1998,Group stage,Germany,2,0,Iran,Standard duration,FALSE
560,1998,6/25/1998,Group stage,United States,0,1,Yugoslavia,Standard duration,FALSE
561,1998,6/26/1998,Group stage,Japan,1,2,Jamaica,Standard duration,FALSE
562,1998,6/26/1998,Group stage,Argentina,1,0,Croatia,Standard duration,FALSE
563,1998,6/26/1998,Group stage,Romania,1,1,Tunisia,Standard duration,FALSE
564,1998,6/26/1998,Group stage,Colombia,0,2,England,Standard duration,FALSE
565,1998,6/27/1998,Round of 16,Italy,1,0,Norway,Standard duration,FALSE
566,1998,6/27/1998,Round of 16,Brazil,4,1,Chile,Standard duration,FALSE
567,1998,6/28/1998,Round of 16,France,1,0,Paraguay,Extra time,TRUE
568,1998,6/28/1998,Round of 16,Nigeria,1,4,Denmark,Standard duration,FALSE
569,1998,6/29/1998,Round of 16,Germany,2,1,Mexico,Standard duration,FALSE
570,1998,6/29/1998,Round of 16,Netherlands,2,1,Yugoslavia,Standard duration,FALSE
571,1998,6/30/1998,Round of 16,Romania,0,1,Croatia,Standard duration,FALSE
572,1998,6/30/1998,Round of 16,Argentina,2,2,England,Argentina win on penalties (4 - 3),FALSE
573,1998,7/3/1998,Quarter-finals,France,0,0,Italy,France win on penalties (3 - 4),TRUE
574,1998,7/3/1998,Quarter-finals,Brazil,3,2,Denmark,Standard duration,FALSE
575,1998,7/4/1998,Quarter-finals,Netherlands,2,1,Argentina,Standard duration,FALSE
576,1998,7/4/1998,Quarter-finals,Germany,0,3,Croatia,Standard duration,FALSE
577,1998,7/7/1998,Semi-finals,Brazil,1,1,Netherlands,Brazil win on penalties (4 - 2),FALSE
578,1998,7/8/1998,Semi-finals,France,2,1,Croatia,Standard duration,TRUE
579,1998,7/11/1998,Third place,Netherlands,1,2,Croatia,Standard duration,FALSE
580,1998,7/12/1998,Final,France,3,0,Brazil,Standard duration,TRUE
581,2002,5/31/2002,Group stage,France,0,1,Senegal,Standard duration,FALSE
582,2002,6/1/2002,Group stage,Republic of Ireland,1,1,Cameroon,Standard duration,FALSE
583,2002,6/1/2002,Group stage,Uruguay,1,2,Denmark,Standard duration,FALSE
584,2002,6/1/2002,Group stage,Germany,8,0,Saudi Arabia,Standard duration,FALSE
585,2002,6/2/2002,Group stage,Argentina,1,0,Nigeria,Standard duration,FALSE
586,2002,6/2/2002,Group stage,Paraguay,2,2,South Africa,Standard duration,FALSE
587,2002,6/2/2002,Group stage,England,1,1,Sweden,Standard duration,FALSE
588,2002,6/2/2002,Group stage,Spain,3,1,Slovenia,Standard duration,FALSE
589,2002,6/3/2002,Group stage,Croatia,0,1,Mexico,Standard duration,FALSE
590,2002,6/3/2002,Group stage,Brazil,2,1,Turkey,Standard duration,FALSE
591,2002,6/3/2002,Group stage,Italy,2,0,Ecuador,Standard duration,FALSE
592,2002,6/4/2002,Group stage,China,0,2,Costa Rica,Standard duration,FALSE
593,2002,6/4/2002,Group stage,Japan,2,2,Belgium,Standard duration,TRUE
594,2002,6/4/2002,Group stage,South Korea,2,0,Poland,Standard duration,TRUE
595,2002,6/5/2002,Group stage,Russia,2,0,Tunisia,Standard duration,FALSE
596,2002,6/5/2002,Group stage,United States,3,2,Portugal,Standard duration,FALSE
597,2002,6/5/2002,Group stage,Germany,1,1,Republic of Ireland,Standard duration,FALSE
598,2002,6/6/2002,Group stage,Denmark,1,1,Senegal,Standard duration,FALSE
